Handle,UUID,Valor,Propietats
0x0022,0x2800,::B0:00:40:51:04:10:11:00:F0,
0x0023,0x2803,0E:24:00::B0:00:40:51:04:11:11:00:F0,0x0E
0x0024,0xF000111104514000B0,0,0x0E
0x0025,0x2803,0E:26::B0:00:40:51:04:12:11:00:F0,0x0E
0x0026,0xF000111204514000B0,0,0x0E
0x0027,0x2800,::B0:00:40:51:04:20:11:00:F0,
0x0028,0x2803,12:29:00::B0:00:40:51:04:21:11:00:F0,0x12
0x0029,0xF000112104514000B0,0,0x12
0x002A,0x2902,00:00,
0x002B,0x2803,12:2C:00::B0:00:40:51:04:22:11:00:F0,0x12
0x002C,0xF000112204514000B0,0,0x12
0x002D,0x2902,00:00,
